{'ip': '27.205.39.70', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.216.249.61', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.195.227.58', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.196.171.189', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.213.75.246', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.196.153.46', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.211.210.116', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.194.199.21', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.196.235.4', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.197.184.38', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.205.159.243', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.196.144.99', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.222.190.203', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.214.41.45', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.219.54.248', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.205.137.103', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.199.130.80', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.194.224.210', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.196.109.162', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.194.255.28', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.208.207.82', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.221.129.13', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.196.117.231', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.214.64.220', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.201.136.141', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.197.130.81', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.218.126.206', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.194.249.98', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.208.87.74', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.210.177.133', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.194.99.101', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.195.91.202', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.200.236.10', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.223.163.164', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.203.212.131', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.206.32.83', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.216.205.218', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.222.91.193', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.218.91.14', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.214.141.64', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.193.213.229', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '27.196.175.71', 'other': 'NXDOMAIN', 'type': '3'}
