{'ip': '220.248.224.219', 'other': 'NOERROR', 'type': '1'}
{'ip': '220.250.64.147', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '220.248.83.26', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.2.122', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.107.116', 'other': 'NXDOMAIN', 'type': '4'}
{'ip': '220.248.4.23', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.35.250', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.249.117.106', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.250.37.194', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.158.38', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.66.101', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.244.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.42.255', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.250.11.111', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.158.181', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.85.42', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.33.116', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.46.106', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.209.18', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.114.10', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.125.70', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.39.182', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.114.118', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.22.230', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.5.160', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.19.170', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.250.58', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.116.56', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.190.241', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.97.194', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.239.240', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.124.162', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '223.166.73.100', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.7.139', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.73.75', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.250.53', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.72.7', 'other': 'NXDOMAIN', 'type': '3'}
