{'ip': '220.250.32.45', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.248.4.23', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.18.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.93.34', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.42.85', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.250.29.66', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.249.9.46', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.42.73', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.209.211', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.250.53.146', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.39.189', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.250.37.65', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.76.45', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.250.61.133', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.35.22', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.248.37.115', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '223.166.194.63', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.99.48', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.252.14', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.96.62', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.129.9', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.116.146', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.167.115.38', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.164.157', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.99.137', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.193.214', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.35.181', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.167.247.208', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.87.245', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.97.194', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.250.38', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.190.236', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.82.123', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.198.192', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.164.199', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.113.94', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.84.15', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.223.54', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.100.212', 'other': 'NOERROR', 'type': '3'}
{'ip': '58.246.102.83', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.59.140', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.178.150', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.133.5', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.247.77.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.210.96', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.247.118.234', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.145.38', 'other': 'NXDOMAIN', 'type': '3'}
