{'ip': '220.248.102.82', 'other': 'NOERROR', 'type': '3'}
{'ip': '220.249.146.32', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.42.177', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.33.113', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.250.44.34', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.250.55.177', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.76.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.213.80', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.184.70', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.219.173', 'other': 'NOERROR', 'type': '1'}
{'ip': '220.248.23.218', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.109.68', 'other': 'REFUSED', 'type': '4'}
{'ip': '223.166.19.155', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.34.232', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.237.241', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.250.31', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.251.32', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.152.199', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.117.20', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.187.228', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.77.178', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.74.130', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.73.125', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.167.251.121', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.248.183', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.49.90', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.173.94', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.131.102', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.247.177.132', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.195.146', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.89.182', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.83.146', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.34.52', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.247.100.166', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.247.32.74', 'other': 'NOERROR', 'type': '2'}
{'ip': '58.247.9.66', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.76.190', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.132.156', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.10.124', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.247.178.22', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.225.202', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.73.189', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.203.18', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.208.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.89.178', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.112.130', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.246.253.74', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.43.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.73.167', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.64.89.206', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.49.145', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.111.59', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.40.168', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.117.246', 'other': 'NOERROR', 'type': '4'}
{'ip': '112.64.74.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.158.66', 'other': 'REFUSED', 'type': '4'}
{'ip': '112.65.67.127', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.53.163', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.53.179', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.249.173', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '112.64.80.56', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '210.13.100.227', 'other': 'REFUSED', 'type': '4'}
{'ip': '210.13.120.46', 'other': 'NXDOMAIN', 'type': '3'}
