{'ip': '101.95.27.194', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.228.102', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.152.210', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.70.147', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.19.84', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.107.87', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.194.201', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.1.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.225.51', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.94.17.73', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.146.107', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.132.182', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.147.209', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.172.223', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.184.254', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.58.5', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.67.31', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.175.233', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.36.52', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.73.105', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.90.162.83', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.218.133', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.165.255', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.96.146', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.225.190', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.181.243', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.245.9', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.90.132.21', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.245.39', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.163.146', 'other': 'NXDOMAIN', 'type': '3'}
