{'ip': '101.85.138.189', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.207.79', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.219.235', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.75.189', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.166.204', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.213.50', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.162.112', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.80.203', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.49.15', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.224.84', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.114.106', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.229.127', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.191.46', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.156.25', 'other': 'NOERROR', 'type': '4'}
{'ip': '101.83.71.170', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.99.95', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.115.145', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.94.10.222', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.69.195', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.219.0', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.171.232', 'other': 'NOERROR', 'type': '4'}
{'ip': '101.91.146.194', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.28.130', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '101.85.199.212', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.151.89', 'other': 'NOERROR', 'type': '4'}
{'ip': '101.94.9.82', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.130.2', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.64.192', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.169.158', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.60.180', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.116.251', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.47.252', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.195.164', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.52.121', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.176.196', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.177.114', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.108.17', 'other': 'REFUSED', 'type': '3'}
{'ip': '101.85.231.192', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.118.167', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.187.239', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.191.109', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.149.245', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.186.216', 'other': 'NXDOMAIN', 'type': '3'}
