{'ip': '220.249.189.162', 'other': 'NOERROR', 'type': '1'}
{'ip': '220.248.92.82', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.158.205', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.62.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.209.217', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.250.64.148', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '220.249.146.162', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.190.130', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.85.34', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.18.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.176.98', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.0.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.86.123', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.184.246', 'other': 'REFUSED', 'type': '3'}
{'ip': '220.248.79.55', 'other': 'NOERROR', 'type': '1'}
{'ip': '220.250.40.235', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.250.25.154', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.226.202', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.35.60', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.209.206', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.209.203', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.173.236', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.104.187', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.181.211', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.149.197', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.60.191', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.215.19', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.27.2', 'other': 'NOERROR', 'type': '1'}
{'ip': '220.248.18.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.34.47', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.244.166', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.75.27', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.248.158.106', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.34.10', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.250.190', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.35.114', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.250.18.75', 'other': 'REFUSED', 'type': '3'}
{'ip': '220.250.55.177', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.219.226', 'other': 'NXDOMAIN', 'type': '3'}
