{'ip': '220.248.176.174', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.109.68', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.172.253', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.33.120', 'other': 'NOERROR', 'type': '2'}
{'ip': '220.248.115.3', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.174.252', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.36.140', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.104.118', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.107.99', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.237.98', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.19.66', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.192.10', 'other': 'NOERROR', 'type': '1'}
{'ip': '220.249.117.107', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.250.55.177', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.244.166', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.88.195', 'other': 'NOERROR', 'type': '1'}
{'ip': '220.250.61.133', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.185.211', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.244.230', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.250.53.146', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.117.210', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.249.154.38', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.60.155', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.249.1.106', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.158.99', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.42.255', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.250.50.133', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '220.250.42.99', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.116.22', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.250.13.249', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.233.82', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.180.139', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.33.115', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.249.98.34', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.27.163', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.244.98', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.108.20', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '220.248.131.163', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.57.130', 'other': 'REFUSED', 'type': '4'}
{'ip': '220.248.118.91', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.78.18', 'other': 'REFUSED', 'type': '4'}
{'ip': '223.167.19.79', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.50.6', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.206.32', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.192.205', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.161.20', 'other': 'NOERROR', 'type': '4'}
{'ip': '223.167.225.49', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.194.213', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.252.14', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.115.79', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.236.245', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.187.143', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.250.217', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.114.10', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.188.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.249.234', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.167.115.249', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.167.237.221', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.192.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.8.245', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.96.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.191.30', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.186.31', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.246.157', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.204.201', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.74.19', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.7.201', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.186.237', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.90.224', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.250.123', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.99.234', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '223.166.46.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.91.156', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.178.22', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.5.234', 'other': 'NOERROR', 'type': '3'}
{'ip': '58.247.138.99', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.73.130', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.62.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.9.150', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.210.141', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.90.35', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.75.242', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.103.129', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.68.210', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.246.136.66', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.246.103.242', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.142.203', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.26.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.136.182', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.247.248.10', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.79.214', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.114.162', 'other': 'NOERROR', 'type': '4'}
{'ip': '58.246.154.72', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.19.229', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '58.247.195.185', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.78.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.137.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.224.20', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.246.88.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.4.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.248.154', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.102.114', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.205.41', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.204.165', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.96.22', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.15.114', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.121.10', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.126.58', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.153.6', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '58.247.45.26', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.7.68', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.33.243', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.103.243', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.44.220', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '58.246.65.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.215.159', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.99.157', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.166.69', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.1.98', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.6.18', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.169.174', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.193.249', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.136.68', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.246.112.159', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '58.246.245.34', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.43.38', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.102.231', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.73.188', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.138.71', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.246.240.122', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.114.70', 'other': 'REFUSED', 'type': '4'}
{'ip': '58.247.174.231', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.6.158', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.102.245', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.176.130', 'other': 'NOERROR', 'type': '4'}
