{'ip': '114.252.127.29', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.251.116.143', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.244.203.10', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.241.71.206', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.252.224.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.88.123', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.248.91.163', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.247.76', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.248.16.151', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.243.27.97', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.247.25.42', 'other': 'REFUSED', 'type': '4'}
{'ip': '114.240.78.196', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.254.112.196', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.249.193.7', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.248.22.18', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.244.212.241', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.244.47.11', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.244.48.41', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.3.205', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.241.250.195', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.33.1', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.243.181.3', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.253.114.36', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.233.123', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.250.193.64', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.254.78.96', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.250.112.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.241.38.240', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.217.64', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.244.101.173', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.245.47.98', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.253.199.36', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.244.43.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.241.40.157', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.242.102.224', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.241.163.247', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.113.211', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.255.243.71', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.241.251.247', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.245.215.95', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.249.74.12', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.250.125.17', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.254.170.164', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.242.102.225', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.248.10.166', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.253.71.222', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.245.75.102', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.13.240', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.166.76', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.245.242.227', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.78.168', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.252.36.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.243.201.191', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '114.253.87.160', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '114.249.88.56', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '114.244.215.227', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '114.244.195.210', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '114.244.64.37', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.255.108.36', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '114.245.25.224', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.249.189.95', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.243.238.115', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.242.203.129', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '114.253.219.36', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.255.162.134', 'other': 'REFUSED', 'type': '4'}
{'ip': '114.250.146.188', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.253.228.245', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.253.102.173', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.254.39.253', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.254.253.108', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.253.189.86', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.239.40', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.243.37.253', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.245.244.136', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.250.186.76', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.86.56', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.243.186.121', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.245.39.94', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.252.231.216', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.135.91', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.249.175.167', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.244.55.80', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.241.26.39', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.243.56.158', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.75.20', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.38.243', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.244.43.1', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.240.80', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.249.27.243', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.249.127.151', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.254.173.218', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.250.10.232', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.244.78.154', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.243.174.98', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.242.203.247', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '114.250.205.117', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.159.101', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.253.148.102', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.242.220', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.250.175.60', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.248.3.224', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.255.71.43', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.241.5.178', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.248.134.214', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.243.41.178', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.254.90.37', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '114.246.100.202', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '114.246.0.32', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '114.254.32.170', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.86.78', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '114.249.56.155', 'other': 'NOERROR', 'type': '4'}
{'ip': '114.246.134.98', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.253.50.204', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.254.172.253', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.254.254.239', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.249.234.65', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.250.108.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.241.181.254', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.254.35.210', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.249.89.231', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.242.188.241', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.254.178.222', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.252.81.5', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.109.144', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.250.54.14', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.250.251.199', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.249.84.165', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.244.67.198', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.245.196.109', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.241.109.125', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.10.25', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.249.238.102', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.250.194.28', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.244.29.188', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.88.72', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.85.145', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.245.97.38', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.43.6', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.32.2', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.245.214.86', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.174.253', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.241.129.182', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.119.62', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.105.215', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.253.83.137', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.250.183.132', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.244.157.163', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.197.0', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.103.202', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.254.174.133', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '114.248.10.148', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '114.248.172.117', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '114.248.228.107', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '114.246.83.126', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '114.253.39.130', 'other': 'SERVFAIL', 'type': '4'}
{'ip': '114.249.179.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.243.197.240', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.249.213.78', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.184.178', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.50.226', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.249.11.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.250.166.11', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.247.60.252', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.247.255.62', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '114.254.247.116', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.254.244.229', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.246.244.218', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.252.224.43', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.248.195.112', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.241.251.100', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.243.177.181', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.243.244.78', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.215.135', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.241.23.163', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.254.156.148', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.242.117.202', 'other': 'REFUSED', 'type': '4'}
{'ip': '114.250.7.123', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.79.176', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.243.238.121', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.248.28.194', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.44.165', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.243.3.130', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.244.231.139', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.244.158.90', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.244.43.228', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.240.244.52', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '114.250.118.192', 'other': 'NXDOMAIN', 'type': '3'}
