{'ip': '101.85.162.7', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.173.152', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.188.65', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.162.126', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.190.169', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.185.38', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.182.144', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.181.206', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.137.182', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.196.90', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.225.139', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.180.234', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.31.221', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.136.10', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.35.128', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.170.54', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.131.222', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.162.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.141.65', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.58.175', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.174.210', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.30.155', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.184.7', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.202.88', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.55.98', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.236.161', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.211.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.111.145', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.178.65', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.129.2', 'other': 'NXDOMAIN', 'type': '1'}
{'ip': '101.83.12.173', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.65.47', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.107.182', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.82.254', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.164.75', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.218.91', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.66.34', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.37.101', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.65.54', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.69.158', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.165.226', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.14.110', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.154.114', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.3.86', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.216.113', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.150.167', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.248.46', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.247.148', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.244.248', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.97.210', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.243.186', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.194.29', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.213.124', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.169.49', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.23.173', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.156.139', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.119.176', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.194.30', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.8.67', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.237.53', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.173.56', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.130.154', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.226.5', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.87.11', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.114.197', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.186.6', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.140.12', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.128.82', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.58.206', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.95.9', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.241.76', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.100.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.153.230', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.18.188', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.230.191', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.160.178', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.55.145', 'other': 'REFUSED', 'type': '3'}
{'ip': '101.85.143.62', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.112.46', 'other': 'NXDOMAIN', 'type': '3'}
