{'ip': '101.95.9.54', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.145.207', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.41.143', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.168.31', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.231.209', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.163.140', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.77.233', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.112.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.181.188', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.227.22', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.230.32', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.180.250', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.217.133', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.74.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.182.97', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.188.154', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.19.70', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.223.242', 'other': 'REFUSED', 'type': '3'}
{'ip': '101.90.197.213', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.199.99', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.183.142', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.117.47', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.55.145', 'other': 'REFUSED', 'type': '3'}
{'ip': '101.95.22.198', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.131.250', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.79.164', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.154.196', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.149.252', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.204.162', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.153.241', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.103.86', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.103.62', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.185.80', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.158.159', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.127.86', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.142.163', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.171.11', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.40.112', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.37.138', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.94.56.144', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.113.121', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.146.141', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.103.134', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.128.110', 'other': 'NXDOMAIN', 'type': '2'}
{'ip': '101.82.127.100', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.81.116.225', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.174.177', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.168.67', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.168.211', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.91.228.33', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.176.21', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.82.12', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.160.59', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.32.52', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.83.18.147', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.66.26', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.125.55', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.82.183.135', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.95.135.50', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.84.29.102', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.225.215', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.36.101', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.149.83', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.89.46.42', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '101.85.46.35', 'other': 'NXDOMAIN', 'type': '3'}
