{'ip': '27.218.115.109', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.197.79.117', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.208.152.1', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.213.132.69', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.197.226.166', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.220.216.165', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.201.240.25', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.223.76.95', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.222.38.82', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.192.22.250', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.201.174.183', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.208.16.85', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.207.32.242', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.201.137.174', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.196.146.57', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.197.246.139', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.220.114.191', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.207.199.245', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.192.184.165', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.211.113.113', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.192.237.128', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.204.73.106', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.197.72.222', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.206.10.91', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.193.156.60', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.206.145.169', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.198.120.238', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.207.222.177', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.210.110.134', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.209.19.196', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.202.51.179', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.204.112.170', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.192.126.83', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.206.47.78', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.219.50.255', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '27.223.170.185', 'other': 'NXDOMAIN', 'type': '3'}
