{'ip': '114.240.1.66', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.8', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.90', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.167', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.84', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.170', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.121', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.52', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.246', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.233', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.251', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.184', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.5', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.140', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.241', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.117', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.165', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.218', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.228', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.68', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.222', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.136', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.237', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.119', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.14', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.175', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.249', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.221', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.208', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.79', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.164', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.36', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.103', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.168', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.110', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.19', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.36', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.100', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.80', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.209', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.51', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.199', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.252', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.32', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.204', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.153', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.45', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.69', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.11', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.59', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.146', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.59', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.62', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.6.100', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.22', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.217', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.212', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.33', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.192', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.114', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.8', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.60', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.28', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.154', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.131', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.186', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.12.42', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.238', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.60', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.20', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.14', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.19', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.23', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.94', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.143', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.84', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.138', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.156', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.167', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.115', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.4.235', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.1.146', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.175', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.11.181', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.65', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.91', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.5.57', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.10.228', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.3.215', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.103', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.50', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.9.92', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.0.156', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.12.70', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.7.62', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.8.64', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '114.240.2.226', 'other': 'SERVFAIL', 'type': '3'}
