{'ip': '220.251.3.125', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.35.63', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.54.129', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.251.148.50', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.249.128.23', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.221.81', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.251.24.23', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.249.131', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.167.163', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.247.232', 'other': 'NOERROR', 'type': '3'}
{'ip': '220.249.98.18', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '58.247.238.233', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.97.63', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.254.123', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.80.81', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '58.246.176.167', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.247.248', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.9.252', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.164.159', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.63.174', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.186.78', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '210.13.121.183', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.102.107', 'other': 'SERVFAIL', 'type': '3'}
{'ip': '220.250.101.83', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.83.223', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.177.0', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.248.211', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.33.222', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.66.109', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.181.41', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.120.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.247.138', 'other': 'NOERROR', 'type': '3'}
{'ip': '58.247.102.207', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.201.2', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.233.171', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.102.235', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.228.246', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.52.215', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.248.203.115', 'other': 'NOERROR', 'type': '3'}
{'ip': '112.65.34.86', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.172.31', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.60.121', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.143.97', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.138.66', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.187.21', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.63.33', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.20.98', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.71.123', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.246.150.102', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '58.247.209.229', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.140.19', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.166.43.77', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.249.245.227', 'other': 'NOERROR', 'type': '3'}
{'ip': '223.167.117.158', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.251.173.88', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.251.99.152', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '223.167.190.84', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.190.58', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.65.93.65', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '112.64.81.190', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.251.59.29', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '220.250.239.197', 'other': 'NXDOMAIN', 'type': '3'}
{'ip': '210.13.99.145', 'other': 'NXDOMAIN', 'type': '3'}
